forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
144,0.06960399265479991,0.78,0.206,0.74,0.11,0.15
144,0.07003528825385248,0.26,0.206,0.52,0.15,0.33
144,0.07043937808356202,0.42,0.206,0.78,0.11,0.11
144,0.07220247807829439,0.64,0.206,0.06,0.25,0.69
144,0.07103766601703329,0.22,0.206,0.88,0.09,0.03
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
142,0.039658221748293594,0.48,0.225,0.86,0.07,0.07
142,0.039554523866529925,0.32,0.225,0.78,0.09,0.13
142,0.03865915360492668,0.56,0.225,0.56,0.13,0.31
142,0.03954756715901008,0.56,0.225,0.48,0.15,0.37
142,0.03994406298385241,0.66,0.225,0.64,0.11,0.25
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
245,0.05320249487574126,0.14,0.23,0.06,0.27,0.67
245,0.04970565481806747,0.38,0.23,0.22,0.23,0.55
245,0.0494157161573292,0.8,0.23,0.3,0.21,0.49
245,0.05301525536588113,0.68,0.23,0.54,0.15,0.31
245,0.05079567454834475,0.56,0.23,0.46,0.17,0.37
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
246,0.057714744485376356,0.12,0.222,0.48,0.17,0.35
246,0.0580229864746505,0.16,0.222,0.58,0.15,0.27
246,0.05678162342039561,0.88,0.222,0.48,0.17,0.35
246,0.05447415577986732,0.1,0.222,0.48,0.17,0.35
246,0.05675812001884056,0.54,0.222,0.38,0.19,0.43
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
143,0.03278393422547263,0.58,0.236,0.26,0.21,0.53
143,0.030738836790292195,0.54,0.236,0,0.27,0.73
143,0.03386553705143331,0.06,0.236,0.58,0.15,0.27
143,0.030169189293059662,0.4,0.236,0.62,0.13,0.25
143,0.03160007447541146,0.7,0.236,0.44,0.17,0.39
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
56,0.016167238056362904,0.36,0.233,0.3,0.23,0.47
56,0.01960698322597465,0.74,0.233,0.16,0.27,0.57
56,0.01934235702677136,0.86,0.233,0.76,0.13,0.11
56,0.01897160391743444,0.22,0.233,0.4,0.21,0.39
56,0.019710284605437847,0.28,0.233,0.16,0.27,0.57
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
264,0.06057830935747417,0.34,0.215,0.2,0.23,0.57
264,0.0590826973578793,0.86,0.215,0.42,0.19,0.39
264,0.060885420242203336,0.26,0.215,0.78,0.13,0.09
264,0.0593818951466397,0.22,0.215,0.6,0.15,0.25
264,0.060950534437253415,0.82,0.215,0.3,0.21,0.49
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
141,0.021936040625791516,0.26,0.275,0.62,0.15,0.23
141,0.023265688250562806,1,0.275,0.04,0.31,0.65
141,0.022168302362989667,0.44,0.275,0.22,0.25,0.53
141,0.02087940676929933,0.56,0.275,0.6,0.15,0.25
141,0.021628089226324428,0.72,0.275,0.46,0.19,0.35
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
323,0.03361348024373402,0.14,0.264,0.7,0.15,0.15
323,0.031182025603913942,0.36,0.264,0.84,0.11,0.05
323,0.032477340385753145,0.86,0.264,0.46,0.21,0.33
323,0.029962579518771154,0.84,0.264,0.76,0.13,0.11
323,0.03274616179357871,0.1,0.264,0.54,0.19,0.27
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
156,0.024061152369695256,0.12,0.256,0.56,0.15,0.29
156,0.02609073300878424,0.98,0.256,0.54,0.15,0.31
156,0.025201753911820012,0.26,0.256,0.86,0.07,0.07
156,0.02446310674674764,0.74,0.256,0.44,0.17,0.39
156,0.02581888316916948,0.8,0.256,0.68,0.11,0.21
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
140,0.016537051088360635,0.48,0.331,0.52,0.19,0.29
140,0.01671134324320941,0.14,0.331,0.8,0.11,0.09
140,0.01917404883175333,0.92,0.331,0.02,0.35,0.63
140,0.015697782397853056,0.84,0.331,0.9,0.07,0.03
140,0.018502475518498814,0.3,0.331,0.5,0.19,0.31
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
50,0.019304343738864204,0.6,0.233,0.82,0.07,0.11
50,0.0231042935431969,0.76,0.233,0.3,0.19,0.51
50,0.02312231629732293,0.74,0.233,0.66,0.11,0.23
50,0.02058633077874178,0.86,0.233,0.46,0.15,0.39
50,0.019792288190240932,0.5,0.233,0.94,0.05,0.01
