"BehaviorSpace results (NetLogo 5.0.5)"
"./Threads/SimAnn.nlogo"
"annealing-userview"
"05/06/2014 16:48:19:779 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","forumid","mode","startPercent","endPercent","[step]","lastAcceptedDistance","USERVIEWGEOMETRICVALUEP","newThreadProb","filterShowAll","filterShowWithNoReply","filterShowHasReply"
"3","244","""userview""","0","50","0","0.15345332983526463","0.8","0.26","1","0","0"
"5","244","""userview""","0","50","0","0.15281561869483223","0.25","0.26","1","0","0"
"2","244","""userview""","0","50","0","0.15791631224966035","0.12","0.26","1","0","0"
"4","244","""userview""","0","50","0","0.15625909166779223","0.22","0.26","1","0","0"
"1","244","""userview""","0","50","0","0.1580075703968846","0.08","0.26","1","0","0"
"6","242","""userview""","0","50","0","0.058086366151195244","0.3","0.33","1","0","0"
"9","242","""userview""","0","50","0","0.05926567505116004","0.31","0.33","1","0","0"
"8","242","""userview""","0","50","0","0.05822160906095135","0.35","0.33","1","0","0"
"10","242","""userview""","0","50","0","0.055959647479854026","0.99","0.33","1","0","0"
"7","242","""userview""","0","50","0","0.05748888048516874","0.09","0.33","1","0","0"
"14","283","""userview""","0","50","0","0.1180276859400029","0.92","0.27","1","0","0"
"11","283","""userview""","0","50","0","0.12044456125593325","0.32","0.27","1","0","0"
"13","283","""userview""","0","50","0","0.11302924425938113","0.42","0.27","1","0","0"
"15","283","""userview""","0","50","0","0.11338045279266525","0.65","0.27","1","0","0"
"12","283","""userview""","0","50","0","0.11879298728775853","0.06","0.27","1","0","0"
"16","347","""userview""","0","50","0","0.15010039093350666","0.65","0.24","1","0","0"
"17","347","""userview""","0","50","0","0.15040235330328108","0.84","0.24","1","0","0"
"18","347","""userview""","0","50","0","0.1500167403158535","0.33","0.24","1","0","0"
"19","347","""userview""","0","50","0","0.14747140377043702","0.22","0.24","1","0","0"
"20","347","""userview""","0","50","0","0.14786156371260378","0.26","0.24","1","0","0"
"21","278","""userview""","0","50","0","0.12613596704689073","0.7","0.21","1","0","0"
"22","278","""userview""","0","50","0","0.1292220004336607","0.65","0.21","1","0","0"
"24","278","""userview""","0","50","0","0.12718809740268125","0.93","0.21","1","0","0"
"23","278","""userview""","0","50","0","0.12818908933406725","0.35","0.21","1","0","0"
"25","278","""userview""","0","50","0","0.13004819730830772","0.79","0.21","1","0","0"
"26","270","""userview""","0","50","0","0.12454251642615821","0.2","0.27","1","0","0"
"28","270","""userview""","0","50","0","0.1234432667357241","0.72","0.27","1","0","0"
"27","270","""userview""","0","50","0","0.12065120703106946","0.65","0.27","1","0","0"
"30","270","""userview""","0","50","0","0.12377290745908595","0.59","0.27","1","0","0"
"29","270","""userview""","0","50","0","0.12374224897831443","0.06","0.27","1","0","0"
"31","320","""userview""","0","50","0","0.10018651843524576","0.78","0.25","1","0","0"
"33","320","""userview""","0","50","0","0.1009539442633732","0.88","0.25","1","0","0"
"34","320","""userview""","0","50","0","0.1008633438006783","0.51","0.25","1","0","0"
"32","320","""userview""","0","50","0","0.1004554266030481","0.22","0.25","1","0","0"
"35","320","""userview""","0","50","0","0.10097924960028648","0.77","0.25","1","0","0"
"36","407","""userview""","0","50","0","0.04932795802206566","0.37","0.34","1","0","0"
"37","407","""userview""","0","50","0","0.04821339848285059","0.44","0.34","1","0","0"
"38","407","""userview""","0","50","0","0.04898521386743252","0.75","0.34","1","0","0"
"40","407","""userview""","0","50","0","0.049870117675632424","0.48","0.34","1","0","0"
"39","407","""userview""","0","50","0","0.049256469349455885","0.14","0.34","1","0","0"
