"BehaviorSpace results (NetLogo 5.0.5)"
"./Threads/Eval.nlogo"
"eval"
"04/09/2014 21:25:35:555 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","forumid","[step]","dist","USERVIEWGEOMETRICVALUEP","newThreadProb","filterShowAll","filterShowWithNoReply","filterShowHasReply"
"1","244","0","0.0874697274862194","0.81","0.27","0.73","0.16","0.11"
"2","244","0","0.061625700542782824","0.81","0.27","0.73","0.16","0.11"
"3","244","0","0.08084327244833078","0.81","0.27","0.73","0.16","0.11"
"4","244","0","0.08989244064262825","0.81","0.27","0.73","0.16","0.11"
"5","244","0","0.08794004521197196","0.81","0.27","0.73","0.16","0.11"
"7","244","0","0.0853529708957852","0.81","0.27","0.73","0.16","0.11"
"6","244","0","0.09195342313839339","0.81","0.27","0.73","0.16","0.11"
"8","244","0","0.07535799204038307","0.81","0.27","0.73","0.16","0.11"
"9","244","0","0.0685875550520284","0.81","0.27","0.73","0.16","0.11"
"10","244","0","0.09297368172117204","0.81","0.27","0.73","0.16","0.11"
"11","244","0","0.05664403113765448","0.81","0.27","0.73","0.16","0.11"
"12","244","0","0.05738590124562948","0.81","0.27","0.73","0.16","0.11"
"14","244","0","0.05724937141165076","0.81","0.27","0.73","0.16","0.11"
"13","244","0","0.0661374693266813","0.81","0.27","0.73","0.16","0.11"
"15","244","0","0.05737644865136504","0.81","0.27","0.73","0.16","0.11"
"17","244","0","0.10210807735490923","0.81","0.27","0.73","0.16","0.11"
"16","244","0","0.05584529512759284","0.81","0.27","0.73","0.16","0.11"
"18","244","0","0.05830344140657018","0.81","0.27","0.73","0.16","0.11"
"19","244","0","0.05213151793855342","0.81","0.27","0.73","0.16","0.11"
"20","244","0","0.06872134700341753","0.81","0.27","0.73","0.16","0.11"
